index,x,y
0,4.0,0.0
1,3.2360680103302,2.3511409759521484
2,1.2360678911209106,3.8042261600494385
3,-1.2360681295394897,3.8042259216308594
4,-3.2360682487487793,2.3511407375335693
5,-4.0,-3.496909926070657e-07
6,-3.236067771911621,-2.3511414527893066
7,-1.2360683679580688,-3.8042259216308594
8,1.2360684871673584,-3.8042259216308594
9,3.2360689640045166,-2.351139783859253
10,8.0,0.0
11,7.308363437652588,3.2538931369781494
12,5.353044509887695,5.945158958435059
13,2.4721357822418213,7.608452320098877
14,-0.83622807264328,7.956175327301025
15,-4.000000476837158,6.928203105926514
16,-6.472136497497559,4.702281475067139
17,-7.825181007385254,1.6632928848266602
18,-7.825180530548096,-1.6632943153381348
19,-6.472135543823242,-4.702282905578613
20,-3.9999992847442627,-6.928203582763672
21,-0.8362267017364502,-7.956175327301025
22,2.472136974334717,-7.608451843261719
23,5.35304594039917,-5.945158004760742
24,7.308364391326904,-3.253891944885254
25,13.0,0.0
26,12.36373519897461,4.017220973968506
27,10.517221450805664,7.641208171844482
28,7.641208171844482,10.517221450805664
29,4.017220497131348,12.36373519897461
30,-5.68248026411311e-07,13.0
31,-4.017221450805664,12.363734245300293
32,-7.641207218170166,10.517221450805664
33,-10.517221450805664,7.641207218170166
34,-12.363736152648926,4.017218112945557
35,-13.0,-4.235937922203448e-06
36,-12.36373233795166,-4.017226219177246
37,-10.517216682434082,-7.641214370727539
38,-7.641201019287109,-10.517226219177246
39,-4.017210483551025,-12.363738059997559
40,1.2552788575703744e-05,-13.0
41,4.017234802246094,-12.363730430603027
42,7.641221523284912,-10.5172119140625
43,10.517230987548828,-7.6411943435668945
44,12.363740921020508,-4.017202854156494
