2216	36.894178000
2682	37.944117000
3154	38.769717000
3606	39.595661000
4020	40.330289000
4434	41.083586000
4868	41.938219000
5294	42.734125000
5712	43.500780000
6154	44.425010000
6916	46.525295000
7368	47.425517000
7794	48.272678000
8228	49.119671000
8682	50.123497000
9080	50.717750000
9504	51.508557000
9814	55.873488000
10746	74.902732000
11694	75.687008000
12016	76.236498000
12334	76.639810000
12608	77.269032000
12910	78.181878000
13876	86.213474000
14308	86.657477000
14510	86.793796000
14946	87.218418000
15312	87.794112000
15824	90.160695000
16078	90.630575000
16350	91.416940000
